Full Course Info,Subject,Course,Title,Prerequisites
FLED 5105 - Applied Content Pedagogy,FLED,5105,Applied Content Pedagogy,MDSK 5204 and MDSK 6162 and (MDSK 6162L or MDSK 6163)
FLED 5200 - Methods in Foreign Languages,FLED,5200,Methods in Foreign Languages,MDSK 6162 and MDSK 5204 and (MDSK 6162L or MDSK 6163)
FREN 1202 - Elementary French II,FREN,1202,Elementary French II,FREN 1201 or FREN 1100
FREN 2201 - Intermediate French I,FREN,2201,Intermediate French I,FREN 1202 or FREN 1102
FREN 2202 - Intermediate French II,FREN,2202,Intermediate French II,FREN 2201
FREN 3201 - French Grammar & Conversation,FREN,3201,French Grammar & Conversation,FREN 2202
FREN 3202 - French Grammar & Composition,FREN,3202,French Grammar & Composition,FREN 2202
FREN 3203 - Intro to French Literature,FREN,3203,Intro to French Literature,FREN 2202
FREN 3210 - Intro to Business French,FREN,3210,Intro to Business French,FREN 2202
FREN 4007 - Studies in French Culture,FREN,4007,Studies in French Culture,FREN 3201 or FREN 3202
FREN 4410 - Prof Internship in French,FREN,4410,Prof Internship in French,FREN 3201 and FREN 3202
GEOG 2102 - Intro to Cartographic Design,GEOG,2102,Intro to Cartographic Design,GEOG 1103
GEOG 3120 - Fndmntls Geographic Info Systm,GEOG,3120,Fndmntls Geographic Info Systm,GEOG 1103 or ESCI 2210
GEOG 4103 - Computer Prog for GIS App,GEOG,4103,Computer Prog for GIS App,GEOG 1103
GEOG 4131 - Environmental Modeling w/ GIS,GEOG,4131,Environmental Modeling w/ GIS,GEOG 4120 or GEOG 3120
GEOG 4132 - Spatial Model Social & Eco App,GEOG,4132,Spatial Model Social & Eco App,GEOG 3120
GEOG 4215 - Urban Ecology,GEOG,4215,Urban Ecology,ESCI 2222
GEOG 5103 - Programming for GIS,GEOG,5103,Programming for GIS,GEOG 6125
GEOG 5131 - Environmental Modeling w/ GIS,GEOG,5131,Environmental Modeling w/ GIS,GEOG 5120
GEOG 6282 - CyberGIS and Big Data,GEOG,6282,CyberGIS and Big Data,GEOG 6125
GEOG 8120 - Spatial Statistics,GEOG,8120,Spatial Statistics,GRAD 8101
GEOL 1210 - Earth History,GEOL,1210,Earth History,GEOL 1200 and GEOL 1200L
GEOL 3105 - Mineral Resources,GEOL,3105,Mineral Resources,GEOL 1200
GEOL 3190 - Environmental Geology,GEOL,3190,Environmental Geology,(GEOL 1200 or GEOL 1200X) and GEOL 1200L
GEOL 4100 - Igneous & Metamorphic Petr,GEOL,4100,Igneous & Metamorphic Petr,GEOL 3115
GEOL 4115 - Applied Geophysics,GEOL,4115,Applied Geophysics,GEOL 1200
GEOL 4145 - Hydrogeology,GEOL,4145,Hydrogeology,(CHEM 1251 and CHEM 1251L) and ((GEOL 1200 and GEOL 1200L) or (ESCI 1101 and ESCI 1101L))
GEOL 5100 - Igneous & Metamorphic Petr,GEOL,5100,Igneous & Metamorphic Petr,GEOL 3115
GEOL 5145 - Hydrogeology,GEOL,5145,Hydrogeology,GEOL 1200 or ESCI 1101 and CHEM 1251
GEOL 1200L - Physical Geology Lab,GEOL,1200L,Physical Geology Lab,GEOL 1200
GEOL 1210L - Earth History Lab,GEOL,1210L,Earth History Lab,(GEOL 1200 or GEOL 1200X) and GEOL 1200L and GEOL 1210
GERM 1202 - Elementary German II,GERM,1202,Elementary German II,GERM 1201 or GERM 1101
GERM 2201 - Intermediate German I,GERM,2201,Intermediate German I,GERM 1202 or GERM 1102
GERM 2202 - Intermediate German II,GERM,2202,Intermediate German II,GERM 2201
GERM 3202 - Adv GERM Lang & Culture II,GERM,3202,Adv GERM Lang & Culture II,GERM 2202 or GERM 2204
GRAD 6101 - Linear Regression,GRAD,6101,Linear Regression,GRAD 6100
GRAD 6104 - Spatial Statistics,GRAD,6104,Spatial Statistics,GRAD 6101
GRAD 8104 - Spatial Statistics,GRAD,8104,Spatial Statistics,GRAD 8101
GRAD 8212 - Academic Writing,GRAD,8212,Academic Writing,(GRAD 6010 or GRAD 6212) or (GRAD 8010 or GRAD 8210)
GRNT 3600 - Senior Sem & Field Exp Aging,GRNT,3600,Senior Sem & Field Exp Aging,GRNT 2100
HCIP 5122 - Visual Analytics,HCIP,5122,Visual Analytics,HCIP 6380
HCIP 6108 - Intermed Decision Analysis/HC,HCIP,6108,Intermed Decision Analysis/HC,HCIP 5376
HCIP 6156 - Machine Learning,HCIP,6156,Machine Learning,ITCS 6150
HCIP 6162 - Knowledge Discovery in Data,HCIP,6162,Knowledge Discovery in Data,ITCS 6160
HCIP 6250 - Problem Solving Hlth Analytics,HCIP,6250,Problem Solving Hlth Analytics,HCIP 6102
HCIP 6400 - HIA Internship,HCIP,6400,HIA Internship,HADM 6100 and HCIP 6380
HHUM 3020 - Topics in HHUM,HHUM,3020,Topics in HHUM,HHUM 2100
HHUM 4800 - HHUM Portfolio Capstone,HHUM,4800,HHUM Portfolio Capstone,HHUM 2100
HIST 4000 - Topics in Amer Historiography,HIST,4000,Topics in Amer Historiography,HIST 2600 or HIST 3600
HIST 4002 - Topics in Non-West Historio,HIST,4002,Topics in Non-West Historio,HIST 2600 or HIST 3600
HIST 4003 - Topics in Transnational Hist,HIST,4003,Topics in Transnational Hist,HIST 2600 or HIST 3600
HIST 4600 - Senior Research Seminar,HIST,4600,Senior Research Seminar,(HIST 2600 or HIST 3600 or HIST 2100) and (HIST 4000 or HIST 4001 or HIST 4002 or HIST 4003 or HIST 4004 or HIST 4797)
HIST 4799 - Honors Research and Thesis,HIST,4799,Honors Research and Thesis,HIST 4797
HIST 5000 - Problems in American History,HIST,5000,Problems in American History,HIST 2600 or HIST 3600
HIST 5799 - Honors Research and Thesis--EE,HIST,5799,Honors Research and Thesis--EE,HIST 4797 or HIST 5797
HLTH 4104 - Epidemiology,HLTH,4104,Epidemiology,HLTH 2102 or (HLTH 3101 or HLTH 2102)
