Full Course Info,Subject,Course,Title,Prerequisites
SOCY 4111 - Social Inequality,SOCY,4111,Social Inequality,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4112 - Sociology of Work,SOCY,4112,Sociology of Work,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4114 - Professionalism,SOCY,4114,Professionalism,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4115 - Organizational Sociology,SOCY,4115,Organizational Sociology,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4156 - Quantitative Analysis,SOCY,4156,Quantitative Analysis,SOCY 1101 and (STAT 1220 or STAT 1221 or STAT 1222) or SOCY 1501 and (STAT 1220 or STAT 1221 or STAT 1222) or SOCY 1511 and (STAT 1220 or STAT 1221 or STAT 1222)
SOCY 4169 - Health Disparities,SOCY,4169,Health Disparities,SOCY 1101 and SOCY 2169
SOCY 4172 - Deviant Behavior,SOCY,4172,Deviant Behavior,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4265 - Social Psychology of Law,SOCY,4265,Social Psychology of Law,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4366 - Minorities and Aging,SOCY,4366,Minorities and Aging,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4371 - Comp Cultural SOCY Netherlands,SOCY,4371,Comp Cultural SOCY Netherlands,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4699 - Senior Seminar in Sociology,SOCY,4699,Senior Seminar in Sociology,SOCY 1101 and (SOCY 3153 or SOCY 4153) and SOCY 3155 and SOCY 4156
SOCY 4756 - Honors Quantitive Analysis,SOCY,4756,Honors Quantitive Analysis,STAT 1220 or STAT 1221 or STAT 1222
SOCY 4765 - Honors Social Psyc of Law,SOCY,4765,Honors Social Psyc of Law,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 6897 - Research Practicum,SOCY,6897,Research Practicum,SOCY 6651 and SOCY 6652
SOCY 3155L - Sociological Rsrch Methods Lab,SOCY,3155L,Sociological Rsrch Methods Lab,SOCY 1101 or SOCY 1501 or SOCY 1511
SOCY 4156L - Quantitative Analysis Lab,SOCY,4156L,Quantitative Analysis Lab,SOCY 1101 and (STAT 1220 or STAT 1221 or STAT 1222) or SOCY 1501 and (STAT 1220 or STAT 1221 or STAT 1222) or SOCY 1511 and (STAT 1220 or STAT 1221 or STAT 1222)
SOCY 4756L - Honors Quantitive Analysis Lab,SOCY,4756L,Honors Quantitive Analysis Lab,(STAT 1220 or STAT 1221 or STAT 1222)
SOWK 3184 - Practice Methods III,SOWK,3184,Practice Methods III,SOWK 3181
SOWK 3202 - Social Welfare Policy,SOWK,3202,Social Welfare Policy,SOWK 3201
SOWK 3484 - SOWK Practicum II,SOWK,3484,SOWK Practicum II,SOWK 3482
SOWK 3988 - Research II,SOWK,3988,Research II,SOWK 3900
SOWK 6442 - Social Work Practicum II,SOWK,6442,Social Work Practicum II,SOWK 6441
SOWK 7223 - Adv Social Wk Pract w/ Comm,SOWK,7223,Adv Social Wk Pract w/ Comm,SOWK 7222
SOWK 7444 - Advanced Social Work Pract II,SOWK,7444,Advanced Social Work Pract II,SOWK 7443
SOWK 7651 - Reflection and Synthesis,SOWK,7651,Reflection and Synthesis,SOWK 7222 and SOWK 7443
SPAN 1102 - Elementary Spanish II,SPAN,1102,Elementary Spanish II,SPAN 1101 or SPAN 1201
SPAN 2050 - Topics in Spanish,SPAN,2050,Topics in Spanish,SPAN 1202
SPAN 2202 - Intermediate Spanish II,SPAN,2202,Intermediate Spanish II,SPAN 2201
SPAN 3201 - Adv Grammar & Composition,SPAN,3201,Adv Grammar & Composition,SPAN 2202
SPAN 3202 - Adv Conversation & Composition,SPAN,3202,Adv Conversation & Composition,SPAN 2202
SPAN 3203 - Span for Heritage Spkrs,SPAN,3203,Span for Heritage Spkrs,SPAN 2202
SPAN 3208 - Intro to Literary Analysis,SPAN,3208,Intro to Literary Analysis,SPAN 3201 or SPAN 3202 or SPAN 3203
SPAN 3209 - Spanish Civilization & Culture,SPAN,3209,Spanish Civilization & Culture,SPAN 3201 or SPAN 3202 or SPAN 3203
SPAN 3210 - Spanish American Civ & Cult,SPAN,3210,Spanish American Civ & Cult,SPAN 3201 or SPAN 3202 or SPAN 3203
SPAN 3220 - Span for Busn & Intern Trade,SPAN,3220,Span for Busn & Intern Trade,SPAN 3201 or SPAN 3202 or SPAN 3203
SPAN 4208 - Survey of Span Peninsular Lit,SPAN,4208,Survey of Span Peninsular Lit,SPAN 3208 or LTAM 3308 and (SPAN 3201 or SPAN 3202 or SPAN 3203)
"SPAN 4216 - Soc, Pol, Cult, Econ Hisp Lit",SPAN,4216,"Soc, Pol, Cult, Econ Hisp Lit",SPAN 3208
SPED 3210 - Enhncng Social-Emtnl Dev Child,SPED,3210,Enhncng Social-Emtnl Dev Child,CHFD 2111 and CHFD 2113 and CHFD 2412
SPED 4112 - Ath App Asmt Child w/Disab,SPED,4112,Ath App Asmt Child w/Disab,SPED 4111
SPED 4274 - Gen Curr Access & Mod,SPED,4274,Gen Curr Access & Mod,SPED 3100
SPED 4275 - Tch Read to Elementary Lrnr,SPED,4275,Tch Read to Elementary Lrnr,SPED 3100
SPED 5173 - Diagnostic Assessment,SPED,5173,Diagnostic Assessment,SPED 5300 and SPED 5370
SPED 5201 - Philosophy Behavior Analysis,SPED,5201,Philosophy Behavior Analysis,SPED 5200
SPED 5274 - Gen Curr Access & Adapt,SPED,5274,Gen Curr Access & Adapt,SPED 5300 and SPED 5370 and SPED 5173
SPED 5372 - Mathematics Instruction,SPED,5372,Mathematics Instruction,SPED 5300 and SPED 5370 and SPED 5173
SPED 6224 - Adapt Curr Mat & Clsrm Diff,SPED,6224,Adapt Curr Mat & Clsrm Diff,SPED 5211 and SPED 6124 and SPED 6161
SPED 6242 - Enhc Comm & Sppt Bhvrs Inc St,SPED,6242,Enhc Comm & Sppt Bhvrs Inc St,CHFD 6102 and CHFD 6210
SPED 6335 - EBP for Learners with ASD,SPED,6335,EBP for Learners with ASD,SPED 6115
SPED 6350 - Yng Chd Disblts & Fams: In Col,SPED,6350,Yng Chd Disblts & Fams: In Col,CHFD 6102 and CHFD 6220
SPED 6693 - Research Implementation,SPED,6693,Research Implementation,SPED 6692
SPED 6694 - Research Dissemination & Ldrsh,SPED,6694,Research Dissemination & Ldrsh,SPED 6693
SPOA 2130 - Intro to Baseball Analytics,SPOA,2130,Intro to Baseball Analytics,STAT 1220 or STAT 1221 or STAT 1222
STAT 1220 - Elements of Stat I (BUSN),STAT,1220,Elements of Stat I (BUSN),Test MPLC or MATH 1100 or MATH 1101 or MATH 1103
STAT 1221 - Elements of Stat I (BIOL),STAT,1221,Elements of Stat I (BIOL),Test MPLC or MATH 1100 or MATH 1101 or MATH 1103
STAT 2122 - Intro to Prob & Stat,STAT,2122,Intro to Prob & Stat,MATH 1242 or MATH 2120
STAT 2223 - Elements of Statistics II,STAT,2223,Elements of Statistics II,STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
STAT 3110 - Applied Regression,STAT,3110,Applied Regression,(STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122) or (MATH 3122 or STAT 3122) and (MATH 1242 or MATH 2120)
STAT 3122 - Probability & Statistics I,STAT,3122,Probability & Statistics I,MATH 2241
STAT 3123 - Probability & Statistics II,STAT,3123,Probability & Statistics II,MATH 3122 or STAT 3122
STAT 3128 - Prob & Stat for Engineers,STAT,3128,Prob & Stat for Engineers,MATH 2241
STAT 3150 - Time Series Analysis,STAT,3150,Time Series Analysis,STAT 2223 or STAT 3110
STAT 3160 - Applied Multivariate Analysis,STAT,3160,Applied Multivariate Analysis,STAT 2223 or STAT 3110
STAT 3180 - Predictive Analytics,STAT,3180,Predictive Analytics,MATH 1242 and (STAT 1220 or STAT 1222)
STAT 4116 - Statistical Computing,STAT,4116,Statistical Computing,STAT 3123
STAT 4124 - Applied Statistics II,STAT,4124,Applied Statistics II,STAT 4123
STAT 5124 - Applied Statistics II,STAT,5124,Applied Statistics II,STAT 5123
STAT 5127 - Theory of Statistics II,STAT,5127,Theory of Statistics II,STAT 5126
STAT 6115 - Stat Learning with Big Data,STAT,6115,Stat Learning with Big Data,(STAT 5110 or DSBA 5110) and STAT 5123 and (STAT 6113 or ECON 6113) and STAT 6112
TESL 4103 - Meth Tch Engl as 2nd Lang,TESL,4103,Meth Tch Engl as 2nd Lang,MDSK 3151 and TESL 4204
THEA 1270 - Acting I,THEA,1270,Acting I,THEA 1265
THEA 2270 - Acting II,THEA,2270,Acting II,THEA 1270
THEA 2280 - Acting in Physical Theatre,THEA,2280,Acting in Physical Theatre,THEA 1265
THEA 2290 - Acting on Camera I,THEA,2290,Acting on Camera I,THEA 2270
THEA 2311 - Theatre History II,THEA,2311,Theatre History II,THEA 1300
THEA 2320 - Playwriting I,THEA,2320,Playwriting I,THEA 1300
THEA 2370 - Theatre Tchng Apprenticeship,THEA,2370,Theatre Tchng Apprenticeship,THEA 1360
THEA 3202 - Audition Techniques,THEA,3202,Audition Techniques,THEA 2201 or THEA 1270
THEA 3215 - Theatre Tech 2-Costume,THEA,3215,Theatre Tech 2-Costume,THEA 1215
THEA 3246 - Theatre Tech 2 - Sound,THEA,3246,Theatre Tech 2 - Sound,THEA 1245
THEA 3310 - Dramaturgy,THEA,3310,Dramaturgy,THEA 1300
THEA 4001 - Topics in Theatre,THEA,4001,Topics in Theatre,THEA 3310
THEA 4205 - Stage Dialects,THEA,4205,Stage Dialects,THEA 1265 or THEA 1270
THEA 4233 - Scenic Painting,THEA,4233,Scenic Painting,THEA 1240 or THEA 1225
TRAN 3601 - Intro to Translation and Inter,TRAN,3601,Intro to Translation and Inter,FREN 3201 or FREN 3202 or GERM 3201 or GERM 3202 or JAPN 3201 or RUSS 3201 or SPAN 3201 or SPAN 3202 or SPAN 3203
TRAN 4422 - Practicum in Trans I- JAPN,TRAN,4422,Practicum in Trans I- JAPN,JAPN 3201 or JAPN 3202 or JAPN 3203
TRAN 4424 - Practicum in Trans III - JAPN,TRAN,4424,Practicum in Trans III - JAPN,JAPN 3201 or JAPN 3202 or JAPN 3203
TRAN 4444 - Practicum in Trans III - SPAN,TRAN,4444,Practicum in Trans III - SPAN,TRAN 3601 or TRAN 4442
URBS 3801 - Independent Study,URBS,3801,Independent Study,URBS 2200
WGST 3220 - Feminist Thought,WGST,3220,Feminist Thought,WGST 1101 or WGST 1502 or WGST 1512
WRDS 2101 - Advanced Writing & Research,WRDS,2101,Advanced Writing & Research,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 3102 - Effective Sentence & Writing,WRDS,3102,Effective Sentence & Writing,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 3140 - Arguing With Images,WRDS,3140,Arguing With Images,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
"WRDS 3211 - Online WRT:Ethics,Social Media",WRDS,3211,"Online WRT:Ethics,Social Media",(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 3215 - Info Lit & Digital Composing,WRDS,3215,Info Lit & Digital Composing,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 4011 - Topics in Writing Technologies,WRDS,4011,Topics in Writing Technologies,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 4021 - Topics in Writing and Reading,WRDS,4021,Topics in Writing and Reading,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 4201 - Composing Across Borders,WRDS,4201,Composing Across Borders,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 4210 - Contemporary Rhetorical Theory,WRDS,4210,Contemporary Rhetorical Theory,(UWRT 1103 or WRDS 1103) or UWRT 1102 or UWRT 1101 or (UWRT 1104 or WRDS 1104)
WRDS 4400 - WRDS Internship Practicum,WRDS,4400,WRDS Internship Practicum,WRDS 4225
WRDS 4900 - Senior Research Capstone,WRDS,4900,Senior Research Capstone,WRDS 4225
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
