Section Prerequisites for Term: 202510,,,,,,,
,,,,,,,
Term,Subject,Course,Section,CRN,Part of Term,Title,Prerequisites
,,,002,21696,1,Ecology,BIOL 2130 and BIOL 2120 and CHEM 1252 and CHEM 1252L
,,3144L,L01,20665,1,Ecology Lab,BIOL 3144 and (BIOL 2140L or BIOL 2130L)
,,,L02,20666,1,Ecology Lab,BIOL 3144 and (BIOL 2140L or BIOL 2130L)
,,,L03,21000,1,Ecology Lab,BIOL 3144 and (BIOL 2140L or BIOL 2130L)
,,,L04,21238,1,Ecology Lab,BIOL 3144 and (BIOL 2140L or BIOL 2130L)
,,,L05,21976,1,Ecology Lab,BIOL 3144 and (BIOL 2140L or BIOL 2130L)
,,,L06,22284,1,Ecology Lab,BIOL 3144 and (BIOL 2140L or BIOL 2130L)
,,3161,001,20661,1,Intro to Biotechnology,BIOL 1110 or BIOL 2120
,,3166,001,20668,1,Genetics,CHEM 1252 and CHEM 1252L and BIOL 2120 and BIOL 2130
,,,002,21707,1,Genetics,CHEM 1252 and CHEM 1252L and BIOL 2120 and BIOL 2130
,,3166L,L01,22285,1,Genetics Lab,BIOL 3166 and (BIOL 2140L or BIOL 2130L)
,,,L02,20907,1,Genetics Lab,BIOL 3166 and (BIOL 2140L or BIOL 2130L)
,,,L03,20667,1,Genetics Lab,BIOL 3166 and (BIOL 2140L or BIOL 2130L)
,,,L04,21300,1,Genetics Lab,BIOL 3166 and (BIOL 2140L or BIOL 2130L)
,,,L05,20906,1,Genetics Lab,BIOL 3166 and (BIOL 2140L or BIOL 2130L)
,,,L06,22286,1,Genetics Lab,BIOL 3166 and (BIOL 2140L or BIOL 2130L)
,,3222,001,22811,1,General Botany,BIOL 2130 and BIOL 2120
,,3222L,L01,22812,1,General Botany Lab,BIOL 3222 and (BIOL 2140L or BIOL 2130L)
,,3231,001,23774,1,Invertebrate Zoology,BIOL 2130 and BIOL 2120 and (BIOL 2140L or BIOL 2130L)
,,3236,001,20908,1,General Zoology,BIOL 2130 and BIOL 2120
,,,002,25692,1,General Zoology,BIOL 2130 and BIOL 2120
,,3244,001,22287,1,Field Ecology,BIOL 2120 and BIOL 2130 and BIOL 2140L
,,3273,001,21708,1,Animal Physiology,(BIOL 2120 or BIOL 1222) and (BIOL 2130 or BIOL 1233) and CHEM 1252 and CHEM 1252L
,,,002,23415,1,Animal Physiology,(BIOL 2120 or BIOL 1222) and (BIOL 2130 or BIOL 1233) and CHEM 1252 and CHEM 1252L
,,,003,25679,1,Animal Physiology,(BIOL 2120 or BIOL 1222) and (BIOL 2130 or BIOL 1233) and CHEM 1252 and CHEM 1252L
,,3273L,L01,21391,1,Animal Physiology Lab,(BIOL 2140L or BIOL 2130L) and BIOL 3273
,,,L02,21392,1,Animal Physiology Lab,(BIOL 2140L or BIOL 2130L) and BIOL 3273
,,,L03,21483,1,Animal Physiology Lab,(BIOL 2140L or BIOL 2130L) and BIOL 3273
,,,L04,21709,1,Animal Physiology Lab,(BIOL 2140L or BIOL 2130L) and BIOL 3273
,,3274,001,22288,1,Scientific Writing,(BIOL 2120 or BIOL 1222) and (BIOL 2130 or BIOL 1233) and (BIOL 2140L or BIOL 2130L)
,,,002,25694,1,Scientific Writing,(BIOL 2120 or BIOL 1222) and (BIOL 2130 or BIOL 1233) and (BIOL 2140L or BIOL 2130L)
,,4165,001,25706,1,Investi Bacteriophage Genomics,BIOL 2120 and BIOL 2120L and BIOL 2130 and BIOL 2130L
,,4167,001,25707,1,Medical Genetics,BIOL 3166 and BIOL 3111
,,4244,001,21980,1,Conservation Biology,BIOL 3144
,,4250,001,22937,1,Microbiology,BIOL 3111
,,4250L,L01,21981,1,Microbiology Lab,BIOL 3111L and BIOL 4250
,,,L02,21983,1,Microbiology Lab,BIOL 3111L and BIOL 4250
,,4251,001,27364,1,Immunology,BIOL 3111
,,4258,001,21388,1,Epidemics and Plagues,BIOL 3111
,,4600,B01,25708,1,Senior Seminar,(BIOL 3111 and BIOL 3144 and BIOL 3166) and BIOL 3273 or BIOL 3272
,,,C01,22164,1,Senior Seminar,(BIOL 3111 and BIOL 3144 and BIOL 3166) and BIOL 3273 or BIOL 3272
,,4701,H01,20657,1,Honors Research II,BIOL 4700
,,,H04,25410,1,Honors Research II,BIOL 4700
,,,H05,21241,1,Honors Research II,BIOL 4700
,,,H06,25411,1,Honors Research II,BIOL 4700
,,,H08,22882,1,Honors Research II,BIOL 4700
,,,H09,23578,1,Honors Research II,BIOL 4700
,,,H11,25412,1,Honors Research II,BIOL 4700
,,,H15,21334,1,Honors Research II,BIOL 4700
,,,H17,23583,1,Honors Research II,BIOL 4700
,,,H21,25417,1,Honors Research II,BIOL 4700
